LOG DE ACESSOS
26/09/2023 08:54:40 | 2804:14c:87e2:83a3:8487:1483:3ed3:4c52 | 2a02:4780:1:638:0:1bcd:5b43:1/PokerComFalinha/
26/09/2023 10:58:39 | 2804:14c:176:a332:e4c2:80a8:e9cb:3cb9 | 2a02:4780:1:638:0:1bcd:5b43:1/PokerComFalinha/
26/09/2023 10:58:58 | 2804:14c:176:a332:e4c2:80a8:e9cb:3cb9 | 2a02:4780:1:638:0:1bcd:5b43:1/PokerComFalinha/imagem.php
26/09/2023 10:59:15 | 2804:14c:176:a332:e4c2:80a8:e9cb:3cb9 | 2a02:4780:1:638:0:1bcd:5b43:1/PokerComFalinha/imagem.php
26/09/2023 10:59:25 | 2804:14c:176:a332:e4c2:80a8:e9cb:3cb9 | 2a02:4780:1:638:0:1bcd:5b43:1/PokerComFalinha/imagem.php
26/09/2023 11:07:29 | 2804:14c:176:a332:e4c2:80a8:e9cb:3cb9 | 2a02:4780:1:638:0:1bcd:5b43:1/PokerComFalinha/imagem.php
26/09/2023 11:07:38 | 2804:14c:176:a332:e4c2:80a8:e9cb:3cb9 | 2a02:4780:1:638:0:1bcd:5b43:1/PokerComFalinha/imagem.php
26/09/2023 11:07:49 | 2804:14c:176:a332:e4c2:80a8:e9cb:3cb9 | 2a02:4780:1:638:0:1bcd:5b43:1/PokerComFalinha/imagem.php
26/09/2023 11:08:03 | 2804:14c:176:a332:e4c2:80a8:e9cb:3cb9 | 2a02:4780:1:638:0:1bcd:5b43:1/PokerComFalinha/imagem.php
26/09/2023 11:08:25 | 2804:14c:176:a332:e4c2:80a8:e9cb:3cb9 | 2a02:4780:1:638:0:1bcd:5b43:1/PokerComFalinha/imagem.php
26/09/2023 11:08:33 | 2804:14c:176:a332:e4c2:80a8:e9cb:3cb9 | 2a02:4780:1:638:0:1bcd:5b43:1/PokerComFalinha/imagem.php
26/09/2023 11:08:45 | 2804:14c:176:a332:e4c2:80a8:e9cb:3cb9 | 2a02:4780:1:638:0:1bcd:5b43:1/PokerComFalinha/imagem.php
26/09/2023 11:12:10 | 177.201.226.227 | 185.28.21.232/PokerComFalinha/
26/09/2023 11:12:18 | 177.201.226.227 | 185.28.21.232/PokerComFalinha/imagem.php
26/09/2023 11:12:36 | 177.201.226.227 | 185.28.21.232/PokerComFalinha/imagem.php
26/09/2023 11:12:49 | 177.201.226.227 | 185.28.21.232/PokerComFalinha/
26/09/2023 11:12:55 | 177.201.226.227 | 185.28.21.232/PokerComFalinha/imagem.php
26/09/2023 11:14:26 | 177.201.226.227 | 185.28.21.232/PokerComFalinha/
26/09/2023 11:14:31 | 177.201.226.227 | 185.28.21.232/PokerComFalinha/imagem.php
26/09/2023 11:14:37 | 177.201.226.227 | 185.28.21.232/PokerComFalinha/imagem.php
26/09/2023 11:14:39 | 177.201.226.227 | 185.28.21.232/PokerComFalinha/
26/09/2023 11:14:45 | 177.201.226.227 | 185.28.21.232/PokerComFalinha/imagem.php
26/09/2023 11:15:18 | 2804:14c:176:a332:e4c2:80a8:e9cb:3cb9 | 2a02:4780:1:638:0:1bcd:5b43:1/PokerComFalinha/imagem.php
26/09/2023 11:15:27 | 2804:14c:176:a332:e4c2:80a8:e9cb:3cb9 | 2a02:4780:1:638:0:1bcd:5b43:1/PokerComFalinha/imagem.php
26/09/2023 11:15:38 | 2804:14c:176:a332:e4c2:80a8:e9cb:3cb9 | 2a02:4780:1:638:0:1bcd:5b43:1/PokerComFalinha/imagem.php
26/09/2023 11:15:50 | 2804:14c:176:a332:e4c2:80a8:e9cb:3cb9 | 2a02:4780:1:638:0:1bcd:5b43:1/PokerComFalinha/imagem.php
26/09/2023 11:16:04 | 2804:14c:176:a332:e4c2:80a8:e9cb:3cb9 | 2a02:4780:1:638:0:1bcd:5b43:1/PokerComFalinha/imagem.php
26/09/2023 11:16:50 | 2804:14c:176:a332:e4c2:80a8:e9cb:3cb9 | 2a02:4780:1:638:0:1bcd:5b43:1/PokerComFalinha/imagem.php
26/09/2023 11:16:55 | 2804:14c:176:a332:e4c2:80a8:e9cb:3cb9 | 2a02:4780:1:638:0:1bcd:5b43:1/PokerComFalinha/imagem.php
26/09/2023 11:17:12 | 2804:14c:176:a332:e4c2:80a8:e9cb:3cb9 | 2a02:4780:1:638:0:1bcd:5b43:1/PokerComFalinha/imagem.php
26/09/2023 11:17:19 | 2804:14c:176:a332:e4c2:80a8:e9cb:3cb9 | 2a02:4780:1:638:0:1bcd:5b43:1/PokerComFalinha/imagem.php
26/09/2023 11:17:24 | 2804:14c:176:a332:e4c2:80a8:e9cb:3cb9 | 2a02:4780:1:638:0:1bcd:5b43:1/PokerComFalinha/imagem.php
26/09/2023 11:17:30 | 2804:14c:176:a332:e4c2:80a8:e9cb:3cb9 | 2a02:4780:1:638:0:1bcd:5b43:1/PokerComFalinha/imagem.php
26/09/2023 11:17:36 | 2804:14c:176:a332:e4c2:80a8:e9cb:3cb9 | 2a02:4780:1:638:0:1bcd:5b43:1/PokerComFalinha/imagem.php
26/09/2023 11:17:39 | 2804:14c:176:a332:e4c2:80a8:e9cb:3cb9 | 2a02:4780:1:638:0:1bcd:5b43:1/PokerComFalinha/imagem.php
26/09/2023 11:17:45 | 2804:14c:176:a332:e4c2:80a8:e9cb:3cb9 | 2a02:4780:1:638:0:1bcd:5b43:1/PokerComFalinha/imagem.php
26/09/2023 11:18:53 | 177.201.226.227 | 185.28.21.232/PokerComFalinha/imagem.php
26/09/2023 11:19:03 | 177.201.226.227 | 185.28.21.232/PokerComFalinha/imagem.php
26/09/2023 11:19:47 | 177.201.226.227 | 185.28.21.232/PokerComFalinha/
26/09/2023 11:19:54 | 177.201.226.227 | 185.28.21.232/PokerComFalinha/imagem.php
26/09/2023 11:19:59 | 177.201.226.227 | 185.28.21.232/PokerComFalinha/imagem.php
26/09/2023 11:20:34 | 177.201.226.227 | 185.28.21.232/PokerComFalinha/
26/09/2023 11:20:41 | 177.201.226.227 | 185.28.21.232/PokerComFalinha/imagem.php
26/09/2023 11:20:47 | 177.201.226.227 | 185.28.21.232/PokerComFalinha/imagem.php
26/09/2023 11:20:47 | 2804:14c:176:a332:e4c2:80a8:e9cb:3cb9 | 2a02:4780:1:638:0:1bcd:5b43:1/PokerComFalinha/imagem.php
26/09/2023 11:20:51 | 177.201.226.227 | 185.28.21.232/PokerComFalinha/imagem.php
26/09/2023 11:20:55 | 2804:14c:176:a332:e4c2:80a8:e9cb:3cb9 | 2a02:4780:1:638:0:1bcd:5b43:1/PokerComFalinha/imagem.php
26/09/2023 11:21:04 | 2804:14c:176:a332:e4c2:80a8:e9cb:3cb9 | 2a02:4780:1:638:0:1bcd:5b43:1/PokerComFalinha/imagem.php
26/09/2023 11:21:15 | 2804:14c:176:a332:e4c2:80a8:e9cb:3cb9 | 2a02:4780:1:638:0:1bcd:5b43:1/PokerComFalinha/imagem.php
26/09/2023 11:22:15 | 177.201.226.227 | 185.28.21.232/PokerComFalinha/
26/09/2023 11:23:06 | 177.201.226.227 | 185.28.21.232/PokerComFalinha/imagem.php
26/09/2023 11:23:11 | 177.201.226.227 | 185.28.21.232/PokerComFalinha/imagem.php
26/09/2023 11:23:20 | 177.201.226.227 | 185.28.21.232/PokerComFalinha/imagem.php
26/09/2023 11:23:25 | 177.201.226.227 | 185.28.21.232/PokerComFalinha/imagem.php
26/09/2023 11:23:32 | 177.201.226.227 | 185.28.21.232/PokerComFalinha/imagem.php
26/09/2023 11:23:37 | 177.201.226.227 | 185.28.21.232/PokerComFalinha/imagem.php
26/09/2023 11:23:44 | 177.201.226.227 | 185.28.21.232/PokerComFalinha/imagem.php
26/09/2023 11:23:53 | 177.201.226.227 | 185.28.21.232/PokerComFalinha/imagem.php
26/09/2023 11:23:58 | 177.201.226.227 | 185.28.21.232/PokerComFalinha/imagem.php
26/09/2023 11:24:51 | 177.201.226.227 | 185.28.21.232/PokerComFalinha/
26/09/2023 11:25:04 | 177.201.226.227 | 185.28.21.232/PokerComFalinha/imagem.php
26/09/2023 11:25:09 | 177.201.226.227 | 185.28.21.232/PokerComFalinha/imagem.php
26/09/2023 11:25:16 | 177.201.226.227 | 185.28.21.232/PokerComFalinha/imagem.php
26/09/2023 11:25:26 | 177.201.226.227 | 185.28.21.232/PokerComFalinha/imagem.php
26/09/2023 11:25:34 | 177.201.226.227 | 185.28.21.232/PokerComFalinha/imagem.php
26/09/2023 11:25:42 | 177.201.226.227 | 185.28.21.232/PokerComFalinha/imagem.php
26/09/2023 11:25:50 | 177.201.226.227 | 185.28.21.232/PokerComFalinha/imagem.php
26/09/2023 11:25:58 | 177.201.226.227 | 185.28.21.232/PokerComFalinha/imagem.php
26/09/2023 11:26:07 | 177.201.226.227 | 185.28.21.232/PokerComFalinha/imagem.php
26/09/2023 11:26:12 | 177.201.226.227 | 185.28.21.232/PokerComFalinha/imagem.php
26/09/2023 11:26:19 | 177.201.226.227 | 185.28.21.232/PokerComFalinha/imagem.php
26/09/2023 11:26:23 | 177.201.226.227 | 185.28.21.232/PokerComFalinha/imagem.php
26/09/2023 11:27:29 | 177.201.226.227 | 185.28.21.232/PokerComFalinha/imagem.php
26/09/2023 11:27:36 | 177.201.226.227 | 185.28.21.232/PokerComFalinha/imagem.php
26/09/2023 11:27:41 | 177.201.226.227 | 185.28.21.232/PokerComFalinha/imagem.php
26/09/2023 11:27:48 | 177.201.226.227 | 185.28.21.232/PokerComFalinha/imagem.php
26/09/2023 11:27:56 | 177.201.226.227 | 185.28.21.232/PokerComFalinha/imagem.php
26/09/2023 11:28:00 | 177.201.226.227 | 185.28.21.232/PokerComFalinha/imagem.php
26/09/2023 11:28:41 | 177.201.226.227 | 185.28.21.232/PokerComFalinha/imagem.php
26/09/2023 11:28:45 | 177.201.226.227 | 185.28.21.232/PokerComFalinha/imagem.php
